step,sim_time_s,max_resid_cross,mean_resid_cross,max_resid_skew,mean_resid_skew,omega_x,omega_y,omega_z
1,0.5000,5.087681e-16,1.988611e-16,5.293642e-16,2.786336e-16,1.0254,-0.1619,1.2973
2,1.0000,6.280370e-16,3.046648e-16,6.477240e-16,2.690796e-16,1.0421,-1.5839,0.0276
3,1.5050,9.930137e-16,3.780492e-16,4.588277e-16,2.377003e-16,-0.6838,-0.5604,-1.3913
4,2.0050,2.035072e-15,6.608793e-16,8.167213e-16,3.435023e-16,-1.8570,1.1025,-0.7485
5,2.5050,6.280370e-16,3.650365e-16,5.762323e-16,3.508350e-16,0.4489,0.6457,0.5907
6,3.0050,1.099065e-15,5.063707e-16,1.270112e-15,5.247308e-16,1.0274,-0.7007,0.3305
7,3.5050,1.831027e-15,8.755044e-16,8.264929e-16,4.105600e-16,1.0467,-0.2301,-0.6707
8,4.0050,8.671119e-16,3.823690e-16,8.467260e-16,4.549957e-16,-0.6121,1.1248,-0.1096
9,4.5050,2.159947e-15,9.896995e-16,8.522303e-16,5.430544e-16,-1.8886,0.5234,1.2826
10,5.0050,8.671119e-16,4.681700e-16,6.870467e-16,3.363708e-16,0.3967,-1.2850,0.9706
